 num     #instances         #bytes  class name (module)
 275:            22           1400  [Ljava.util.Hashtable$Entry; (java.base@17.0.5)
 276:            35           1400  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.5)
 277:            58           1392  org.springframework.core.io.ClassPathResource
 278:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@17.0.5)
 279:            57           1368  java.util.concurrent.atomic.AtomicLong (java.base@17.0.5)
 280:            42           1344  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@17.0.5)
 281:            56           1344  io.micrometer.core.instrument.ImmutableTag
 282:            42           1344  javax.management.MBeanParameterInfo (java.management@17.0.5)
 283:            45           1336  [Ljavax.management.MBeanOperationInfo; (java.management@17.0.5)
 284:            83           1328  org.springframework.expression.common.LiteralExpression
 285:            33           1320  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17.0.5)
 286:            41           1312  java.util.PropertyPermission (java.base@17.0.5)
 287:            54           1296  java.security.spec.ECPoint (java.base@17.0.5)
 288:            54           1296  java.util.ArrayDeque (java.base@17.0.5)
 289:            39           1280  [Ljava.math.BigInteger; (java.base@17.0.5)
 290:            40           1280  java.io.ObjectStreamClass$WeakClassKey (java.base@17.0.5)
 291:            40           1280  java.util.Hashtable$Entry (java.base@17.0.5)
 292:            32           1280  java.util.PropertyResourceBundle (java.base@17.0.5)
 293:            20           1280  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@17.0.5)
 294:            39           1248  java.io.RandomAccessFile (java.base@17.0.5)
 295:            39           1248  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@17.0.5)
 296:            39           1248  org.springframework.core.annotation.AttributeMethods
 297:            13           1248  sun.util.calendar.Gregorian$Date (java.base@17.0.5)
 298:            14           1232  java.text.DecimalFormatSymbols (java.base@17.0.5)
 299:            30           1200  java.time.format.DateTimeFormatter (java.base@17.0.5)
 300:            30           1200  java.time.temporal.ChronoField (java.base@17.0.5)
 301:            50           1200  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.5)
 302:            21           1176  javax.management.openmbean.CompositeType (java.management@17.0.5)
 303:            36           1152  org.apache.catalina.util.ManifestResource
 304:            71           1136  org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source
 305:            47           1128  java.security.Permissions (java.base@17.0.5)
 306:            47           1128  org.apache.coyote.ActionCode
 307:            46           1120  [Lsun.reflect.generics.tree.TypeSignature; (java.base@17.0.5)
 308:            35           1120  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.5)
 309:            28           1120  java.math.BigDecimal (java.base@17.0.5)
 310:            70           1120  org.apache.juli.logging.DirectJDKLog
 311:             2           1104  [Ljava.lang.Integer; (java.base@17.0.5)
 312:             1           1104  [Lsun.security.util.KnownOIDs; (java.base@17.0.5)
 313:            69           1104  jdk.proxy2.$Proxy26 (jdk.proxy2)
 314:            34           1088  java.util.LinkedList (java.base@17.0.5)
 315:            68           1088  jdk.proxy2.$Proxy13 (jdk.proxy2)
 316:            45           1080  org.springframework.format.support.FormattingConversionService$ParserConverter
 317:            67           1072  jdk.proxy1.$Proxy4 (jdk.proxy1)
 318:            22           1056  java.util.Hashtable (java.base@17.0.5)
 319:            44           1056  sun.reflect.generics.scope.MethodScope (java.base@17.0.5)
 320:            42           1048  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@17.0.5)
 321:             1           1040  [Ljava.lang.Byte; (java.base@17.0.5)
 322:             1           1040  [Ljava.lang.Long; (java.base@17.0.5)
 323:             1           1040  [Ljava.lang.Short; (java.base@17.0.5)
 324:            26           1040  org.springframework.web.util.pattern.LiteralPathElement
 325:            32           1024  com.fasterxml.jackson.databind.MapperFeature
 326:            42           1008  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@17.0.5)
 327:            21           1008  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@17.0.5)
 328:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.5)
 329:            41            984  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@17.0.5)
 330:            61            976  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.5)
 331:            24            960  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@17.0.5)
 332:            24            960  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17.0.5)
 333:            30            960  java.security.Provider$EngineDescription (java.base@17.0.5)
 334:            17            952  sun.util.calendar.ZoneInfo (java.base@17.0.5)
 335:            39            936  java.util.zip.ZipFile$Source$Key (java.base@17.0.5)
 336:            39            936  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.5)
